operation,solution
6325+(9421*239)-(69040/40),2256218
nth_prime(125),691
46988*1030,48397640
fib(34)*18,102651966
(6316*53)+(2169*9322),20554166
(((68*30)+(32*65))/2)-349,1711
"C(21,7)+fib(20)",123045
digit_product(321724),336
(5454+(7407*5679))*(9683-7466),93268762119
(8058+158)*(524-128),3253536
fib(33)-542,3524036
"lcm(224,301,18)",86688
3^4+5^4,706
"C(34,4)-331",46045
(4684*463)+(7927*173),3540063
((3039+53)*9875)+(9926*463551),4631740726
(((1364*358920)+(8247*9072))/144)-1493,3917838
"C(27,3)+fib(10)",2980
"comb(35,10)",183579396
((497+4401)*85)+(8920*8321),74639650
fib(27),196418
(7558+(63*2396))*(6081-3173)+15,460935463
abs(811-1512)*49+floor(811/2),34754
7216+(2091*68)-(180064/68),146756
930741/483+58,1985
"C(16,3)*17",9520
"gcd(4806,24297)",267
"comb(14,4)",1001
prime_count(29792),3228
prime_count(14909),1746
(1401+24)*(579-443),193800
"C(25,8)+fib(19)",1085756
5170*(5722+82),30006680
(5611+(184149*1535))*(1001-909),26006037992
sigma(1586)+phi(1586),3324
digit_sum(819226978)^2+digit_sum(819226978),2756
nth_prime(1136),9161
((3081+5326)*776)+(9680*58),7085272
((234+(9328*714))*(8075-3326))-53425,31630309649
phi(2473),2472
"perm(11,3)",990
nth_prime(436)*35+prime_count(515),106532
((5743*3705)+4)/43,494833
"lcm(147,181)",26607
"lcm(282,137)",38634
((196+(67*76))*(8723-8299))-32748,2209364
(5495*72)-(53*7335),6885
((2432+8772)*36)+(102028*60),6525024
sqrt(159289641),12621
fib(23),28657
phi(2956)*sigma(193),286344
floor(4528332/813)+176,5745
(4164*60)/80,3123
(70*30)+(48*32)+(43*8528),370340
phi(3005),2400
((8812+17)*1806)+(22*60),15946494
12!*10+9853,4790025853
7101*(5815+1549),52291764
(4500+(9001*26))*(3952-2367),378063710
4^8+4^8,131072
"gcd(24156,51480,15246)",198
(2644*207)-(296*789),313764
(((5*91)+(2*9236))/9)-525,1578
(((886*837092)+(564*791446))/232)-2136,5118722
9247*((71+4872)*30)-60086,1371177544
(6896*374)+(9641*7804),77817468
((982080*34)/155)*557+59,119991227
((8200+29)*98)+(99*2167),1020975
digit_sum(5^12)*phi(54),504
"perm(14,3)",2184
(7862*2905)+(55*7591),23256615
floor(2075339/517)+398,4412
(262806*88)+(1526*92)+(396034*8043),3208568782
((565*9746)+46)/84,65554
((829053*7)/9)*15+29,9672314
"comb(36,3)",7140
"gcd(32,651)*lcm(32,651)",20832
((9702*64)/63)*4580+71,45140551
"C(19,6)*7",189924
88*8303+62,730726
"max(34091,59435,84712)-min(34091,25280)+22",59454
(154*381)+(1276*229),350878
(4627+(45*8818))*(4704-1592),1249271944
((8715-4756)*8)/37,856
(9008*671191)+(137820*4584),6677855408
"C(29,3)+fib(29)",517883
"C(27,6)+fib(25)",371035
(37*6625)-(77*92),238041
(17*74)+(50*55),4008
(6873*954)+(8044*573),11166054
(8651+(59*507189))*(116-110),179596812
((56*214)/7)*174645+87,298992327
(6150*4145)+(939*64)+(1815*82),25700676
nth_prime(1335)*100+prime_count(1216),1099498
"C(16,8)+fib(12)",13014
fib(26)*14,1699502
(900978*6139)+(2445*34),5531187072
(893684*1132)-(27958*82),1009357732
phi(4304),2144
(2644*7455)-(672*1486),18712428
"C(20,7)+fib(26)",198913
((2008-478)*46)/51,1380
digit_product(673782424),451584
996*((8165+24)*66)-590,538311514
digit_sum(505165487)^2+digit_sum(505165487),1722
sigma(2824)+phi(2824),6718
reverse_digits(979144946924),429649441979
phi(1347),896
8353*1057,8829121
(2287*201)+(4972*3),474603
reverse_digits(425993080565),565080399524
(3675+9871)*4779,64736334
(8166+(1842*4196))*(7458-6674)+2141,6065965373
((9526+421)*6772)-98518,67262566
3201*6702+17,21453119
"gcd(fib(12),fib(24))",144
(69020*56)/58,66640
"gcd(fib(15),fib(15))",610
((9416+436)*389)-990,3831438
phi(522)*sigma(1586),437472
((452-273)*493)/29,3043
(5652+(390873*46))*(9644-8447)+5,21529014575
"lcm(399,340)",135660
(9014+816)*(819-201),6074940
((5675+(45*55))*(2243-256))-72377,16121673
"lcm(151,158,72)",858888
"lcm(33,197)",6501
"C(15,5)*15",45045
89*(7+20),2403
abs(4267-6718)*33+floor(4267/8),81416
"C(17,8)+fib(10)",24365
((1204-61)*2886)/37,89154
((1903+7022)*6488)-53048,57852352
((5716+87)*2373)+(9130*658906),6029582299
((2073+9155)*49)+(6538*278426),1820899360
(7880*6012)-(31*9579),47077611
(7633*2393)+(882486*2972),2641014161
3054*((498+29)*8191)-28701,13183041777
(1444+(47*6949))*(8816-3122)+21,1867899639
(459092*9896)-(481417*7581),893552155
(6391+1690)*76,614156
12^6+8^7,5083136
((3506+(5704*11))*(9086-7053))-4671,134681579
(882786*829567)-(2212*6559),732315625154
(8539*100)+(1342*709),1805378
24*((1400+5014)*509020)-18395,78356484325
"perm(11,2)",110
((7852+9157)*9517)+(5371*36),162068009
(684754*9212)+(6075*869618)+(3266*2224),11598146782
14!/(5!*9!),2002
264*1629+17,430073
isqrt(9455312),3074
8^10+4^4,1073742080
reverse_digits(4313)+isqrt(18602790),7447
"max(30545,5844,54228)-min(30545,97879)+8",23691
(224356*1507)-(16*5983),338008764
((2222*76)/202)*87+58,72790
70*(631+54),47950
144+(291*9340)-(71336/74),2717120
(7507+(6744*473663))*(203-187),51110252464
((3966+7856)*7473)+(393320*192127),75655737446
"C(26,5)+299",66079
(4467*206)-(53*2483),788603
(11*5909)+(7092*5661)+(157*62),40222545
"max(93932,6249,46667)-min(93932,93498)+15",449
2194032/688+96,3285
(4441*486)+(8059*503),6212003
floor(3595652/99)+308,36627
(7426*192)/79,18048
(8452*47)/188,2113
((9369+2552)*74)+(6617*9424),63240762
6828*((5773+73)*5129)-23922,204731643030
fib(23)+digit_sum(fib(23)),28685
33*(40+42),2706
digit_product(747547573),2881200
2180*(92+80),374960
((4102+7805)*7825)-45371,93126904
((9211+82)*86)+(3470*2565),9699748
(3316+67)*(9940-929),30484213
"lcm(179,316)",56564
