operation,solution
"C(15,4)+sqrt(81)-fact(4)",1350
"floor(1000/7)+gcd(48,18)*lcm(4,6)",214
digit_sum(2^10)*phi(97),672
"fib(12)+perm(10,3)-sigma(30)",792
"gcd(1987,4218)*lcm(1987,4218)+prime_count(1000)",8381334
"C(22,6)+fib(18)",77197
nth_prime(200)*73+prime_count(5000),89948
"gcd(1024,7680)*lcm(1024,7680)+sigma(60)",7864488
"fact(8)+pow(3,5)-digit_product(1234)",40539
"max(12345, 67890)",67890
"min(33,29)",29
30/1,30
29/2,14.5
"C(30,0)",1
"C(30,1)",30
"C(30,2)",435
"C(30,3)",4060
21,21
fact(7),5040
reverse_digits(12345),54321
"gcd(comb(30,10), perm(20,5))",45
phi(12345)*sigma(6789),62287872
reverse_digits(12345)+digit_product(9876),57345
fib(0),0
fib(1),1
fib(2),1
fib(3),2
fib(4),3
fib(5),5
fib(6),8
fib(7),13
fib(8),21
fib(9),34
fib(10),55
fib(11),89
fib(12),144
fib(13),233
fib(14),377
fib(15),610
fib(16),987
fib(17),1597
fib(18),2584
fib(19),4181
fib(20),6765
fib(21),10946
fib(23),28657
fib(24),46368
